# Logfile created on 2026-09-21 22:06:18 +0700 by logger.rb/61378
2026-09-21 22:06:19 +0700: Memory Usage (426460K) : metal3_iprobe has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (426460K) : metal3_diffprb has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (426460K) : nwell_drw has 87 polygons
2026-09-21 22:06:19 +0700: Memory Usage (426724K) : nwell_pin has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (426724K) : nbulay_drw has 6 polygons
2026-09-21 22:06:19 +0700: Memory Usage (426724K) : nbulay_pin has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (426724K) : nbulay_block has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (426724K) : emwind_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (426988K) : emwind_opc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (426988K) : deepco_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (426988K) : deepco_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (426988K) : mim_drw has 59 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427252K) : edgeseal_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427252K) : edgeseal_bound has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427252K) : substrate_drw has 16 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427252K) : substrate_text has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427516K) : dfpad_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427516K) : dfpad_pillar has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427516K) : dfpad_sbump has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427516K) : thickgateox_drw has 324 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427780K) : pldb_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427780K) : pwell_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427780K) : pwell_pin has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427780K) : pwell_block has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (427780K) : ic_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428044K) : via3_drw has 138760 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428044K) : metal4_drw has 13170 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428044K) : metal4_pin has 1 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428044K) : metal4_mask has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428308K) : metal4_filler has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428308K) : metal4_nofill has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428308K) : metal4_slit has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428308K) : metal4_text has 1 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428572K) : metal4_opc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428572K) : metal4_noqrc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428572K) : metal4_res has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428572K) : metal4_iprobe has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428836K) : metal4_diffprb has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428836K) : heattrans_drw has 9082 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428836K) : heatres_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428836K) : pempoly_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (428836K) : fbe_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429100K) : empoly_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429100K) : ldmos_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429100K) : pbiwind_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429100K) : digisub_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429364K) : nodrc_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429364K) : text_drw has 30 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429364K) : via4_drw has 123149 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429364K) : metal5_drw has 512 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429628K) : metal5_pin has 3 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429628K) : metal5_mask has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429628K) : metal5_filler has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429628K) : metal5_nofill has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429892K) : metal5_slit has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : metal5_text has 8 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : metal5_opc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : metal5_noqrc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : metal5_res has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : metal5_iprobe has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : metal5_diffprb has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : radhard_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : memcap_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : varicap_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : flash_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : intbondvia_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : intbondmet_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : devbondvia_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : devbondmet_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : devtrench_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : redist_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : graphbot_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (429976K) : graphtop_drw has 0 polygons
