# Logfile created on 2026-09-21 21:33:20 +0700 by logger.rb/61378
2026-09-21 21:33:21 +0700: Memory Usage (423928K) : baspoly_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (423928K) : baspoly_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424192K) : psd_drw has 179 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424192K) : nldb_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424192K) : digibnd_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424456K) : via1_drw has 231469 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424720K) : backmetal1_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424720K) : backmetal1_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424720K) : backmetal1_mask has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424720K) : backmetal1_filler has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424720K) : backmetal1_nofill has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424984K) : backmetal1_slit has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424984K) : backmetal1_text has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424984K) : backmetal1_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (424984K) : backmetal1_noqrc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425248K) : backmetal1_res has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425248K) : backmetal1_iprobe has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425248K) : backmetal1_diffprb has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425248K) : backpassiv_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425512K) : res_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425512K) : sram_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425512K) : trans_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425512K) : ind_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425512K) : ind_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425776K) : ind_text has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425776K) : salblock_drw has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425776K) : via2_drw has 182770 polygons
2026-09-21 21:33:21 +0700: Memory Usage (425776K) : metal3_drw has 24967 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426040K) : metal3_pin has 10 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426040K) : metal3_mask has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426040K) : metal3_filler has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426040K) : metal3_nofill has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426304K) : metal3_slit has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426304K) : metal3_text has 14 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426304K) : metal3_opc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426304K) : metal3_noqrc has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426304K) : metal3_res has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426304K) : metal3_iprobe has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426568K) : metal3_diffprb has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426568K) : nwell_drw has 87 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426568K) : nwell_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426568K) : nbulay_drw has 6 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426832K) : nbulay_pin has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426832K) : nbulay_block has 0 polygons
2026-09-21 21:33:21 +0700: Memory Usage (426832K) : emwind_drw has 0 polygons
