# Logfile created on 2026-09-21 22:06:19 +0700 by logger.rb/61378
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : metal5_filler has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : metal5_nofill has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : metal5_slit has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : metal5_text has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : metal5_opc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : metal5_noqrc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : metal5_res has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : metal5_iprobe has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : metal5_diffprb has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : radhard_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : memcap_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : varicap_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : flash_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : intbondvia_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : intbondmet_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : devbondvia_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : devbondmet_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : devtrench_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : redist_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphbot_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphtop_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : antvia1_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : antmetal2_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphcont_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : siwg_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : siwg_filler has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : siwg_nofill has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : sigrating_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : singrating_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphpas_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : emwind3_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : emwihv3_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : redbulay_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : smos_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphpad_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : polimide_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : polimide_pin has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_pin has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_esd has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_diode has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_tsv has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_iprobe has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_diffprb has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_pillar has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_sbump has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_otp has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_pdiode has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_mom has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_momf has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : recog_pcm has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : colopen_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphmetal1_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphmetal1_filler has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphmetal1_nofill has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphmetal1_slit has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphmetal1_opc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphmet1l_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphmet1l_filler has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphmet1l_nofill has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphmet1l_slit has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : graphmet1l_opc has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : extblock_drw has 0 polygons
2026-09-21 22:06:19 +0700: Memory Usage (425956K) : nldd_drw has 0 polygons
